week,merchant_type,payment_method,transaction_count,failed_transactions,failed_pct
1,SME,API_Direct,1850,96,5.19
1,SME,Merchant_Portal,620,12,1.94
1,SME,Bank_Transfer,310,3,0.97
1,Mid-Market,API_Direct,3100,68,2.19
1,Mid-Market,Merchant_Portal,1860,19,1.02
1,Mid-Market,Bank_Transfer,950,5,0.53
1,Enterprise,API_Direct,2450,52,2.12
1,Enterprise,Merchant_Portal,1200,12,1.00
1,Enterprise,Bank_Transfer,600,3,0.50
2,SME,API_Direct,1920,98,5.10
2,SME,Merchant_Portal,640,13,2.03
2,SME,Bank_Transfer,320,3,0.94
2,Mid-Market,API_Direct,3200,68,2.13
2,Mid-Market,Merchant_Portal,1920,20,1.04
2,Mid-Market,Bank_Transfer,980,5,0.51
2,Enterprise,API_Direct,2500,53,2.12
2,Enterprise,Merchant_Portal,1250,13,1.04
2,Enterprise,Bank_Transfer,620,3,0.48
3,SME,API_Direct,1800,94,5.22
3,SME,Merchant_Portal,600,12,2.00
3,SME,Bank_Transfer,300,3,1.00
3,Mid-Market,API_Direct,3050,65,2.13
3,Mid-Market,Merchant_Portal,1830,18,0.98
3,Mid-Market,Bank_Transfer,920,5,0.54
3,Enterprise,API_Direct,2400,51,2.13
3,Enterprise,Merchant_Portal,1150,12,1.04
3,Enterprise,Bank_Transfer,580,3,0.52
4,SME,API_Direct,1950,100,5.13
4,SME,Merchant_Portal,650,13,2.00
4,SME,Bank_Transfer,330,3,0.91
4,Mid-Market,API_Direct,3150,67,2.13
4,Mid-Market,Merchant_Portal,1890,20,1.06
4,Mid-Market,Bank_Transfer,960,5,0.52
4,Enterprise,API_Direct,2550,54,2.12
4,Enterprise,Merchant_Portal,1280,13,1.02
4,Enterprise,Bank_Transfer,640,3,0.47
5,SME,API_Direct,1850,97,5.24
5,SME,Merchant_Portal,620,12,1.94
5,SME,Bank_Transfer,310,3,0.97
5,Mid-Market,API_Direct,3100,66,2.13
5,Mid-Market,Merchant_Portal,1860,19,1.02
5,Mid-Market,Bank_Transfer,950,5,0.53
5,Enterprise,API_Direct,2450,52,2.12
5,Enterprise,Merchant_Portal,1200,12,1.00
5,Enterprise,Bank_Transfer,600,3,0.50
6,SME,API_Direct,1920,99,5.16
6,SME,Merchant_Portal,640,13,2.03
6,SME,Bank_Transfer,320,3,0.94
6,Mid-Market,API_Direct,3200,68,2.13
6,Mid-Market,Merchant_Portal,1920,20,1.04
6,Mid-Market,Bank_Transfer,980,5,0.51
6,Enterprise,API_Direct,2500,53,2.12
6,Enterprise,Merchant_Portal,1250,13,1.04
6,Enterprise,Bank_Transfer,620,3,0.48
7,SME,API_Direct,1800,93,5.17
7,SME,Merchant_Portal,600,12,2.00
7,SME,Bank_Transfer,300,3,1.00
7,Mid-Market,API_Direct,3050,65,2.13
7,Mid-Market,Merchant_Portal,1830,18,0.98
7,Mid-Market,Bank_Transfer,920,5,0.54
7,Enterprise,API_Direct,2400,51,2.13
7,Enterprise,Merchant_Portal,1150,12,1.04
7,Enterprise,Bank_Transfer,580,3,0.52
8,SME,API_Direct,1950,101,5.18
8,SME,Merchant_Portal,650,13,2.00
8,SME,Bank_Transfer,330,3,0.91
8,Mid-Market,API_Direct,3150,67,2.13
8,Mid-Market,Merchant_Portal,1890,20,1.06
8,Mid-Market,Bank_Transfer,960,5,0.52
8,Enterprise,API_Direct,2550,54,2.12
8,Enterprise,Merchant_Portal,1280,13,1.02
8,Enterprise,Bank_Transfer,640,3,0.47
9,SME,API_Direct,1850,685,37.03
9,SME,Merchant_Portal,620,12,1.94
9,SME,Bank_Transfer,310,3,0.97
9,Mid-Market,API_Direct,3100,68,2.19
9,Mid-Market,Merchant_Portal,1860,19,1.02
9,Mid-Market,Bank_Transfer,950,5,0.53
9,Enterprise,API_Direct,2450,52,2.12
9,Enterprise,Merchant_Portal,1200,12,1.00
9,Enterprise,Bank_Transfer,600,3,0.50
10,SME,API_Direct,1920,711,37.03
10,SME,Merchant_Portal,640,12,1.88
10,SME,Bank_Transfer,320,3,0.94
10,Mid-Market,API_Direct,3200,68,2.13
10,Mid-Market,Merchant_Portal,1920,19,0.99
10,Mid-Market,Bank_Transfer,980,5,0.51
10,Enterprise,API_Direct,2500,53,2.12
10,Enterprise,Merchant_Portal,1250,13,1.04
10,Enterprise,Bank_Transfer,620,3,0.48
11,SME,API_Direct,1800,666,37.00
11,SME,Merchant_Portal,600,12,2.00
11,SME,Bank_Transfer,300,3,1.00
11,Mid-Market,API_Direct,3050,65,2.13
11,Mid-Market,Merchant_Portal,1830,18,0.98
11,Mid-Market,Bank_Transfer,920,5,0.54
11,Enterprise,API_Direct,2400,51,2.13
11,Enterprise,Merchant_Portal,1150,12,1.04
11,Enterprise,Bank_Transfer,580,3,0.52
12,SME,API_Direct,1950,722,37.03
12,SME,Merchant_Portal,650,13,2.00
12,SME,Bank_Transfer,330,3,0.91
12,Mid-Market,API_Direct,3150,67,2.13
12,Mid-Market,Merchant_Portal,1890,20,1.06
12,Mid-Market,Bank_Transfer,960,5,0.52
12,Enterprise,API_Direct,2550,54,2.12
12,Enterprise,Merchant_Portal,1280,13,1.02
12,Enterprise,Bank_Transfer,640,3,0.47
