report_date,merchant_id,merchant_type,payment_method,complaint_type,severity,resolution_time_hours,ticket_id
2026-01-12,M_SME_4521,SME,API_Direct,Transaction Failed,Low,4.5,TK001234
2026-01-12,M_SME_4522,SME,Merchant_Portal,Slow Settlement,Low,8.0,TK001235
2026-01-12,M_MID_2103,Mid-Market,API_Direct,Fee Discrepancy,Low,6.0,TK001236
2026-01-13,M_SME_4523,SME,Bank_Transfer,Reconciliation Issue,Medium,12.0,TK001237
2026-01-13,M_ENTS_801,Enterprise,API_Direct,Transaction Failed,Low,4.0,TK001238
2026-01-14,M_SME_4524,SME,API_Direct,Transaction Failed,Low,5.0,TK001239
2026-01-14,M_MID_2104,Mid-Market,Merchant_Portal,Late Payment,Medium,18.0,TK001240
2026-01-15,M_SME_4525,SME,Merchant_Portal,Dashboard Error,Low,3.0,TK001241
2026-01-15,M_ENTS_802,Enterprise,Bank_Transfer,Reconciliation Issue,Medium,16.0,TK001242
2026-01-16,M_SME_4526,SME,API_Direct,Transaction Failed,Low,4.5,TK001243
2026-01-17,M_MID_2105,Mid-Market,API_Direct,Integration Issue,Medium,10.0,TK001244
2026-01-17,M_SME_4527,SME,Merchant_Portal,Transaction Failed,Low,4.0,TK001245
2026-01-18,M_ENTS_803,Enterprise,API_Direct,Fee Discrepancy,Low,7.0,TK001246
2026-01-19,M_SME_4528,SME,API_Direct,Transaction Failed,Low,5.0,TK001247
2026-01-20,M_MID_2106,Mid-Market,Bank_Transfer,Late Payment,Medium,20.0,TK001248
2026-01-20,M_SME_4529,SME,Merchant_Portal,Slow Settlement,Low,9.0,TK001249
2026-01-21,M_SME_4530,SME,API_Direct,Transaction Failed,Low,4.5,TK001250
2026-01-22,M_ENTS_804,Enterprise,Merchant_Portal,Transaction Failed,Low,4.0,TK001251
2026-01-23,M_MID_2107,Mid-Market,API_Direct,Integration Issue,Medium,11.0,TK001252
2026-01-24,M_SME_4531,SME,API_Direct,Transaction Failed,Low,5.0,TK001253
2026-01-25,M_SME_4532,SME,Bank_Transfer,Reconciliation Issue,Medium,14.0,TK001254
2026-01-26,M_ENTS_805,Enterprise,API_Direct,Fee Discrepancy,Low,6.0,TK001255
2026-01-27,M_MID_2108,Mid-Market,Merchant_Portal,Late Payment,Medium,19.0,TK001256
2026-01-28,M_SME_4533,SME,API_Direct,Transaction Failed,Low,4.5,TK001257
2026-01-29,M_SME_4534,SME,Merchant_Portal,Dashboard Error,Low,3.5,TK001258
2026-01-30,M_ENTS_806,Enterprise,Bank_Transfer,Slow Settlement,Low,10.0,TK001259
2026-01-31,M_MID_2109,Mid-Market,API_Direct,Transaction Failed,Low,4.5,TK001260
2026-02-01,M_SME_4535,SME,API_Direct,Transaction Failed,Low,5.0,TK001261
2026-02-02,M_SME_4536,SME,Merchant_Portal,Late Payment,Medium,18.0,TK001262
